artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
Radiohead,Karma Police,OK Computer,0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,4.401116666666667,2.912790697674419
Radiohead,High and Dry,The Bends,0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4.291333333333333,4.274553571428571
Radiohead,Exit Music (For A Film),OK Computer,0.293,0.276,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,4.453116666666666,1.6526946107784433
Radiohead,Weird Fishes/ Arpeggi,In Rainbows,0.531,0.61,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,5.303116666666667,6.71806167400881
Radiohead,Jigsaw Falling Into Place,In Rainbows,0.462,0.832,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,4.148216666666666,11.228070175438596
Radiohead,Fake Plastic Trees,The Bends,0.463,0.229,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,4.845116666666667,1.1336633663366336
Radiohead,Just,The Bends,0.291,0.767,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,3.9133333333333336,10.052424639580602
Radiohead,Nude,In Rainbows,0.516,0.342,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,4.25645,3.990665110851809
AC/DC,Highway to Hell,Highway to Hell,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,3.473333333333333,5.852564102564103
AC/DC,Thunderstruck,The Razors Edge,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,4.881333333333333,4.101382488479263
AC/DC,Back In Black,Back In Black,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,4.258216666666667,8.454106280193237
AC/DC,You Shook Me All Night Long,Back In Black,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,3.502883333333333,1.9666666666666663
AC/DC,T.N.T.,High Voltage,0.754,0.759,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,3.577783333333333,7.514851485148514
AC/DC,Hells Bells,Back In Black,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,5.204883333333333,3.197802197802197
AC/DC,Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,0.668,0.906,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,3.86555,6.711111111111111
AC/DC,Shoot to Thrill,Back In Black,0.457,0.904,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,5.29045,2.282828282828283
AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,0.456,0.863,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,5.02045,15.605786618444846
