artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
George Michael,Somebody to Love,Ladies & Gentlemen,0.333,0.863,-6.918,0.0515,0.0518,0.0,0.972,0.384,110.162,5.31445,0.8878600823045267
George Michael,Jesus to a Child,Older,0.534,0.415,-11.781,0.0278,0.314,0.000365,0.0847,0.188,173.561,6.85245,4.899645808736718
George Michael,As,Ladies And Gentlemen... The Best Of George Michael,0.667,0.736,-8.168,0.191,0.135,0.0,0.203,0.766,93.193,4.700666666666667,3.6256157635467976
Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),You Make It Feel Like Christmas,0.635,0.87,-4.291,0.04,0.0152,0.0,0.118,0.912,92.999,2.612883333333333,7.372881355932204
Gwen Stefani,The Sweet Escape,The Sweet Escape,0.756,0.77,-3.502,0.0343,0.191,0.0,0.178,0.73,119.961,4.107783333333333,4.325842696629214
Gwen Stefani,Hollaback Girl,Love Angel Music Baby (Deluxe Version),0.926,0.916,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,3.3308833333333334,39.14529914529915
Gwen Stefani,Rich Girl,Love Angel Music Baby (Deluxe Version),0.856,0.754,-2.728,0.0416,0.0294,1.49e-05,0.206,0.722,98.018,3.936883333333333,3.6601941747572817
Gwen Stefani,CAN'T STOP THE FEELING! - Film Version,TROLLS (Original Motion Picture Soundtrack),0.658,0.82,-5.825,0.0674,0.00816,0.0,0.0839,0.697,112.938,3.9566666666666666,9.773539928486292
Gwen Stefani,Luxurious,Love Angel Music Baby (Deluxe Version),0.811,0.726,-3.995,0.0813,0.154,0.0,0.116,0.666,131.027,4.415333333333334,6.258620689655172
Gwen Stefani,Bubble Pop Electric,Love Angel Music Baby (Deluxe Version),0.566,0.976,-3.866,0.262,0.000527,0.00265,0.114,0.354,193.979,3.706,8.56140350877193
Gwen Stefani,What You Waiting For?,Love Angel Music Baby (Deluxe Version),0.676,0.948,-2.557,0.0628,0.0509,8.19e-06,0.384,0.731,136.027,3.687116666666667,2.46875
Gwen Stefani,Move Your Feet / D.A.N.C.E. / It's A Sunshine Day,TROLLS (Original Motion Picture Soundtrack),0.706,0.82,-4.469,0.0562,0.00613,0.00186,0.0488,0.595,118.951,2.608216666666667,16.80327868852459
Gwen Stefani,Cool,Love Angel Music Baby (Deluxe Version),0.709,0.721,-3.52,0.0281,0.0322,0.000309,0.355,0.801,112.019,3.15555,2.0309859154929577
The Game,Hate It Or Love It,The Documentary,0.802,0.785,-4.781,0.207,0.14,0.0,0.123,0.435,99.998,3.44,6.382113821138212
The Game,How We Do,The Documentary,0.862,0.648,-7.401,0.251,0.0455,0.0,0.0332,0.637,98.012,3.92555,19.518072289156628
The Game,Ali Bomaye,Jesus Piece (Deluxe),0.381,0.69,-5.312,0.455,0.0209,0.0,0.438,0.223,78.239,6.211783333333333,1.5753424657534243
The Game,Party We Will Throw Now!,Party We Will Throw Now! - Single,0.934,0.562,-4.609,0.24,0.0476,1.31e-06,0.0608,0.712,96.792,3.4902166666666665,9.24342105263158
The Game,Eazy (Feat. Kanye West),DRILLMATIC Heart vs. Mind,0.568,0.547,-6.985,0.547,0.172,0.0,0.209,0.318,82.635,3.8849,2.617224880382776
The Game,Red Nation,The R.E.D. Album,0.405,0.889,-3.303,0.317,0.0922,0.0,0.446,0.338,82.918,3.824666666666667,1.993273542600897
The Game,"Talk To Me Nice (Feat. Meek Mill, Moneybagg Yo & Blxst)",DRILLMATIC Heart vs. Mind,0.895,0.676,-5.067,0.369,0.0392,0.0,0.25,0.503,136.982,3.755833333333333,2.704
The Game,Westside Story,The Documentary,0.876,0.647,-3.917,0.28,0.16,0.0,0.238,0.961,86.993,3.717783333333333,2.7184873949579837
The Game,The Game & Skrillex: El Chapo,The Documentary 2.5,0.754,0.909,-3.323,0.23,0.138,0.0,0.281,0.591,126.994,3.667983333333333,3.2348754448398576
The Game,My Life,LAX,0.67,0.765,-5.019,0.352,0.0731,0.0,0.0567,0.383,148.126,5.348216666666667,13.492063492063492
The Beach Boys,Little Saint Nick - 1991 Remix,The Beach Boys' Christmas Album,0.602,0.553,-9.336,0.0328,0.108,0.0,0.0512,0.971,130.594,1.9806666666666664,10.80078125
The Beach Boys,Wouldn't It Be Nice - Remastered 2000 / Stereo Mix,Pet Sounds (Original Mono & Stereo Mix Versions),0.392,0.629,-7.056,0.0335,0.718,3.76e-06,0.129,0.72,124.511,2.5534166666666667,4.875968992248062
The Beach Boys,Kokomo,The Very Best Of The Beach Boys: Sounds Of Summer,0.682,0.635,-10.05,0.0346,0.00863,0.0,0.137,0.927,115.584,3.628216666666667,4.635036496350365
The Beach Boys,Surfin' U.S.A. - Remastered 2001,Surfin' USA (Remastered),0.55,0.854,-5.968,0.036,0.661,0.0,0.112,0.965,159.231,2.48955,7.625
The Beach Boys,Good Vibrations - Remastered 2001,Smiley Smile (Remastered),0.396,0.473,-7.67,0.0345,0.326,0.000124,0.109,0.385,133.449,3.65045,4.339449541284403
The Beach Boys,God Only Knows - Mono / 1997 Remastered,Pet Sounds (Original Mono & Stereo Mix Versions),0.521,0.487,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072,2.884,8.411053540587218
The Beach Boys,I Get Around (Mono),All Summer Long (Mono & Stereo),0.39,0.625,-7.813,0.0537,0.36,0.0,0.0663,0.514,144.338,2.239783333333333,9.42684766214178
The Beach Boys,Don't Worry Baby - Remastered 2001,"Shut Down, Vol. 2 (Remastered)",0.487,0.464,-9.821,0.03,0.0666,0.00531,0.105,0.851,121.242,2.8322166666666666,4.419047619047619
The Beach Boys,California Dreamin' - 2007 Digital Remaster,The Warmth Of The Sun,0.582,0.845,-7.335,0.0447,0.0529,1.44e-06,0.0752,0.624,116.453,3.4062166666666664,11.236702127659573
The Beach Boys,Barbara Ann,Spirit Of America,0.581,0.669,-3.659,0.0385,0.19,0.0,0.243,0.926,78.073,2.23155,2.7530864197530867
Journey,Don't Stop Believin',Escape (Bonus Track Version),0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852,4.183116666666667,1.6733780760626398
Journey,Any Way You Want It,Departure,0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158,3.36155,6.852941176470588
Journey,Separate Ways (Worlds Apart),Frontiers,0.451,0.962,-3.947,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,5.395116666666667,3.4729241877256314
Journey,Open Arms,Escape (Bonus Track Version),0.405,0.21,-13.214,0.0279,0.584,0.0,0.139,0.174,100.577,3.36955,1.5107913669064743
Journey,Faithfully,Frontiers,0.202,0.644,-5.212,0.0324,0.0979,0.0,0.109,0.252,85.04,4.451333333333333,5.908256880733945
Journey,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,Separate Ways (Worlds Apart) [Bryce Miller/Alloy Tracks Remix],0.43,0.569,-9.274,0.044,0.0115,0.0134,0.163,0.0668,129.992,2.75125,3.4907975460122693
Journey,Wheel in the Sky,Infinity,0.442,0.745,-8.623,0.0741,0.084,2.18e-05,0.136,0.368,105.184,4.204,5.477941176470588
Journey,Lights,Infinity,0.193,0.498,-9.901,0.0381,0.107,0.00711,0.332,0.344,205.422,3.1722166666666665,1.5
Journey,Who's Crying Now,Escape (Bonus Track Version),0.57,0.554,-9.732,0.0288,0.0548,0.0,0.139,0.372,122.135,5.00245,3.985611510791367
Journey,Stone in Love,Escape (Bonus Track Version),0.488,0.871,-9.447,0.0781,0.00472,0.000776,0.676,0.518,118.986,4.426,1.2884615384615383
Dolly Parton,9 to 5,9 To 5 And Odd Jobs,0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,2.707783333333333,1.2408874801901744
Dolly Parton,Jolene,Jolene (Expanded Edition),0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,110.578,2.6922166666666665,4.099236641221374
Dolly Parton,Islands in the Stream,Dolly,0.592,0.473,-9.834,0.0354,0.681,0.0,0.0732,0.741,203.989,4.156,6.461748633879781
Dolly Parton,Bets On Us,One Night in Nashville,0.52,0.787,-4.768,0.0536,0.103,0.0,0.305,0.573,170.059,3.016,2.58032786885246
Dolly Parton,Here You Come Again,Here You Come Again,0.585,0.511,-9.37,0.0391,0.647,0.007,0.0392,0.552,105.898,2.9915166666666666,13.035714285714286
Dolly Parton,I Will Always Love You,Jolene (Expanded Edition),0.446,0.142,-13.498,0.0335,0.96,0.00114,0.101,0.156,135.724,2.934883333333333,1.4059405940594056
Dolly Parton,"Cuddle Up, Cozy Down Christmas",A Holly Dolly Christmas (Deluxe Edition),0.658,0.515,-7.283,0.0368,0.678,0.0,0.154,0.652,110.089,3.652816666666667,3.344155844155844
Dolly Parton,There Was Jesus,Rescue Story,0.495,0.695,-6.331,0.0374,0.4,0.0,0.088,0.473,153.882,3.7224666666666666,7.897727272727272
Dolly Parton,Coat of Many Colors,Coat Of Many Colors,0.624,0.257,-13.341,0.0444,0.93,7.56e-05,0.138,0.681,85.617,3.0611166666666665,1.86231884057971
Dolly Parton,Hard Candy Christmas,Once Upon A Christmas,0.531,0.397,-7.63,0.027,0.583,0.0,0.13,0.235,99.822,3.628,3.053846153846154
Gabry Ponte,Thunder,Thunder,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,2.6666666666666665,2.604651162790698
Gabry Ponte,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Europop,0.822,0.969,-11.471,0.0582,0.259,0.000153,0.39,0.765,128.007,4.729133333333333,2.4846153846153847
Gabry Ponte,We Could Be Together,We Could Be Together (feat. Daddy DJ),0.706,0.778,-4.491,0.0606,0.198,1.06e-05,0.0778,0.376,125.893,2.49405,10.000000000000002
Gabry Ponte,Monster,Monster,0.83,0.794,-6.279,0.432,0.0253,0.0248,0.106,0.607,128.16,2.5704333333333333,7.490566037735849
Gabry Ponte,Call Me (with R3HAB & Timmy Trumpet),Call Me (with R3HAB & Timmy Trumpet),0.398,0.956,-4.429,0.329,0.00935,0.0038,0.142,0.269,106.581,2.971833333333333,6.732394366197183
Gabry Ponte,Rely On Me,Rely On Me,0.664,0.759,-4.89,0.039,0.0142,0.000174,0.0892,0.752,124.968,2.90975,8.508968609865471
Gabry Ponte,Monster - Robin Schulz Remix,Monster (Robin Schulz Remix),0.475,0.815,-6.068,0.124,0.133,0.0,0.11,0.48,126.164,2.7657833333333333,7.409090909090908
Gabry Ponte,Mad World,Mad World,0.54,0.892,-4.985,0.11,0.233,9.35e-05,0.195,0.152,106.594,2.555066666666667,4.574358974358974
Gabry Ponte,Dance Dance (feat. Alessandra),Dance Dance (feat. Alessandra),0.705,0.872,-6.093,0.0416,0.0135,0.00271,0.0805,0.815,124.048,2.51775,10.832298136645962
Gabry Ponte,The Passenger (LaLaLa) [feat. MOKABY],The Passenger (LaLaLa) [feat. MOKABY],0.673,0.771,-6.178,0.137,0.0609,0.000277,0.209,0.687,125.061,2.656,3.688995215311005
SCH,FADE UP,FADE UP,0.758,0.599,-5.99,0.0877,0.57,1.13e-06,0.129,0.557,129.96,3.653133333333333,4.643410852713178
SCH,Autobahn,Autobahn,0.801,0.815,-6.861,0.108,0.00852,0.0203,0.313,0.629,140.013,2.8442166666666666,2.603833865814696
SCH,LIF,Autobahn,0.847,0.626,-6.224,0.368,0.0748,0.0,0.076,0.594,103.032,3.2484333333333333,8.236842105263158
SCH,Bande organisée,Bande organisée,0.901,0.939,-2.762,0.274,0.117,0.0,0.0643,0.805,142.948,5.939116666666667,14.603421461897357
SCH,Magnum,Autobahn,0.45,0.679,-6.454,0.346,0.157,0.000111,0.335,0.434,129.268,3.755116666666667,2.026865671641791
SCH,Niobe,Autobahn,0.822,0.524,-8.973,0.455,0.223,0.0,0.0885,0.616,148.959,2.4793333333333334,5.92090395480226
SCH,Marginaux,Autobahn,0.891,0.609,-5.118,0.115,0.0571,0.0,0.102,0.645,115.001,3.683333333333333,5.970588235294118
SCH,Mayday (feat. Ninho),Rooftop,0.614,0.596,-7.664,0.357,0.605,5.3e-06,0.0945,0.248,152.138,3.49645,6.306878306878307
SCH,Fusil,A7,0.87,0.464,-7.44,0.357,0.474,0.00122,0.094,0.0929,100.011,4.201116666666667,4.9361702127659575
SCH,Mode Akimbo (feat. Jul),JVLIVS II,0.875,0.848,-5.859,0.158,0.0717,0.000613,0.0828,0.577,122.983,3.61845,10.241545893719806
Ludwig van Beethoven,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Beethoven: Piano Sonatas, Vol.3",0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612,5.257116666666667,0.0304624277456647
Ludwig van Beethoven,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Für Elise, Bagatelle No. 25 in A Minor, WoO 59",0.289,0.0306,-30.79,0.0446,0.987,0.911,0.102,0.118,125.61,3.53445,0.3
Ludwig van Beethoven,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Originals Beethoven Box,0.25,0.318,-15.605,0.0411,0.956,0.897,0.0976,0.188,98.171,7.366666666666666,3.2581967213114758
Ludwig van Beethoven,"Für Elise, WoO 59",Beethoven Greatest Hits,0.303,0.108,-27.433,0.0473,0.994,0.877,0.0805,0.18,126.931,3.1411166666666666,1.341614906832298
Ludwig van Beethoven,Adagietto,This Is (Not) Beethoven,0.306,0.0127,-33.274,0.0466,0.991,0.952,0.0634,0.106,89.231,2.38095,0.2003154574132492
Ludwig van Beethoven,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)",Peaceful Moments (One Hour of Relaxing Instrumentals),0.216,0.199,-20.583,0.044,0.991,0.916,0.095,0.339,178.876,4.914716666666667,2.0947368421052635
Ludwig van Beethoven,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 - ""Moonlight"": I. Adagio sostenuto",Beethoven: The Piano Sonatas,0.278,0.00245,-41.53,0.0497,0.995,0.881,0.114,0.293,139.161,6.722216666666666,0.0214912280701754
Ludwig van Beethoven,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",0.23,0.0487,-27.675,0.0412,0.986,0.945,0.0679,0.101,134.839,3.3942666666666668,0.7172312223858616
Ludwig van Beethoven,"Wind Quintet in E-Flat Major, Hess 19: II. Adagio maestoso","Beethoven: Chamber Music for Horns, Winds and Strings",0.15,0.0234,-24.527,0.0432,0.995,0.936,0.103,0.066,62.36,3.872216666666666,0.2271844660194175
Ludwig van Beethoven,"Symphony No. 6 in F Major, Op. 68, ""Pastorale"": I. Allegro ma non troppo, ""Awakening of cheerful feelings on arriving in the countryside""","Beethoven for Three: Symphony No. 6 ""Pastorale"" and Op. 1, No. 3",0.367,0.0622,-23.054,0.0403,0.957,0.702,0.13,0.284,116.654,11.86045,0.4784615384615384
Diddy,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,No Way Out (2014 Remaster),0.833,0.619,-5.595,0.0538,0.111,2.13e-05,0.159,0.901,109.92,5.109333333333334,3.893081761006289
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",Bad Boy's 10th Anniversary- The Hits,0.713,0.471,-7.392,0.483,0.421,0.0,0.0308,0.779,199.764,4.759783333333333,15.29220779220779
Diddy,Gotta Move On (feat. Bryson Tiller),Gotta Move On (feat. Bryson Tiller),0.699,0.679,-4.528,0.0556,0.55,0.0,0.0816,0.56,102.919,2.6796166666666665,8.321078431372548
Diddy,Sex In The Porsche (and PARTYNEXTDOOR),Sex In The Porsche (and PARTYNEXTDOOR),0.698,0.553,-6.886,0.0458,0.109,9.1e-06,0.314,0.0582,91.054,3.560433333333333,1.7611464968152868
Diddy,Bad Boy for Life,The Saga Continues...,0.669,0.829,-3.801,0.49,0.179,0.0,0.241,0.61,118.934,4.217783333333333,3.4398340248962653
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],R&B Hits,0.66,0.707,-5.758,0.208,0.397,0.0,0.211,0.761,89.279,4.48,3.350710900473933
Diddy,Last Night,Just Like You,0.916,0.849,-5.034,0.0639,0.166,0.000193,0.0859,0.974,121.002,4.262883333333333,9.88358556461001
Diddy,Last Night (feat. Keyshia Cole),Press Play,0.888,0.833,-4.381,0.0912,0.256,0.00159,0.485,0.962,121.002,6.470433333333333,1.7175257731958762
Diddy,Been Around the World (feat. The Notorious B.I.G. & Mase),No Way Out,0.815,0.529,-10.117,0.28,0.0191,0.0,0.406,0.73,99.439,5.432216666666666,1.3029556650246306
Diddy,Victory (feat. The Notorious B.I.G. & Busta Rhymes),No Way Out,0.609,0.731,-6.846,0.322,0.397,0.0,0.664,0.685,91.778,4.937783333333333,1.1009036144578312
Baby Rasta,PUNTO 40,SATURNO,0.857,0.829,-0.484,0.0842,0.00112,0.015,0.255,0.208,106.993,3.177566666666667,3.2509803921568627
Baby Rasta,Ella Se Contradice (feat. Plan B),Ella Se Contradice (feat. Plan B),0.767,0.758,-8.116,0.295,0.111,0.0,0.376,0.84,76.498,4.279283333333334,2.015957446808511
Baby Rasta,Nunca Me Amo,Nunca Me Amo,0.813,0.787,-4.098,0.177,0.216,0.0,0.0594,0.45,130.065,3.327366666666667,13.24915824915825
Baby Rasta,Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Voodoo,0.897,0.629,-4.456,0.194,0.315,0.0,0.18,0.278,120.019,3.6254166666666663,3.4944444444444445
Baby Rasta,Soltero,Soltero,0.816,0.551,-3.77,0.101,0.353,0.0,0.145,0.391,137.99,5.0433666666666666,3.8000000000000007
Baby Rasta,Tengo una Punto 40,Playero 40 New Era,0.762,0.912,-6.689,0.166,0.0527,4.08e-06,0.11,0.44,108.271,2.617783333333333,8.290909090909091
Baby Rasta,De Ti Me Enamore,La Ultima Risa,0.736,0.841,-5.844,0.0419,0.143,0.000788,0.222,0.62,92.04,3.381333333333333,3.788288288288288
Baby Rasta,Voodoo,Voodoo,0.532,0.721,-4.453,0.082,0.535,0.0,0.621,0.469,138.872,5.166616666666667,1.1610305958132046
Baby Rasta,Hechizo,Voodoo,0.8,0.462,-7.576,0.0403,0.761,0.0,0.0855,0.45,125.9,1.2913333333333334,5.4035087719298245
Baby Rasta,Llamala,Llamala,0.815,0.695,-7.869,0.379,0.0795,0.0,0.679,0.531,173.882,3.5507,1.023564064801178
Shania Twain,You're Still The One,Come On Over,0.585,0.494,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,3.536666666666666,5.575620767494357
Shania Twain,Man! I Feel Like A Woman!,Come On Over,0.657,0.639,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,3.9082166666666662,2.2985611510791366
Shania Twain,Giddy Up!,Giddy Up!,0.779,0.692,-3.59,0.0598,0.0024,0.0,0.482,0.67,103.99,2.7110833333333333,1.4356846473029046
Shania Twain,Any Man Of Mine,The Woman In Me,0.592,0.725,-8.698,0.0412,0.207,0.0,0.148,0.784,78.235,4.112666666666667,4.898648648648649
Shania Twain,That Don't Impress Me Much,Come On Over,0.757,0.757,-7.598,0.0389,0.235,0.0,0.0474,0.967,124.956,3.647783333333333,15.970464135021098
Shania Twain,From This Moment On - Pop On-Tour Version,Greatest Hits,0.46,0.505,-5.487,0.0266,0.42,0.0,0.134,0.22,135.757,3.91845,3.7686567164179103
Shania Twain,From This Moment On,Come On Over,0.305,0.323,-9.396,0.0284,0.483,0.0,0.107,0.103,135.803,4.692216666666667,3.018691588785047
Shania Twain,Waking Up Dreaming,Waking Up Dreaming,0.567,0.737,-3.642,0.118,0.0264,0.0,0.0894,0.543,91.827,3.3133666666666666,8.243847874720359
Shania Twain,hole in the bottle (with Shania Twain),hole in the bottle (with Shania Twain),0.565,0.837,-4.607,0.119,0.106,0.0,0.37,0.775,105.067,2.6046,2.262162162162162
Shania Twain,"Honey, I'm Home",Come On Over,0.616,0.723,-6.451,0.0913,0.208,0.0,0.181,0.859,160.525,3.5866666666666664,3.994475138121547
Hillsong Worship,What A Beautiful Name,What A Beautiful Name,0.424,0.506,-5.877,0.0284,0.201,0.0,0.11,0.138,135.902,3.97,4.6
Hillsong Worship,Broken Vessels (Amazing Grace) - Live,No Other Name (Deluxe Edition/Live),0.381,0.505,-6.478,0.0278,0.293,4.27e-06,0.72,0.0869,140.995,9.479783333333334,0.701388888888889
Hillsong Worship,This I Believe (The Creed) - Live,No Other Name (Deluxe Edition/Live),0.428,0.627,-6.307,0.0306,0.012,0.0,0.56,0.17,142.063,6.696,1.119642857142857
Hillsong Worship,Here I Am To Worship - Live,Ultimate Worship: Hillsong (Live),0.392,0.44,-6.711,0.0282,0.449,0.0,0.118,0.166,143.921,3.68045,3.728813559322034
Hillsong Worship,Who You Say I Am - Live,There Is More (Live),0.269,0.666,-6.048,0.0362,0.000278,0.0,0.609,0.226,171.722,5.484666666666667,1.0935960591133005
Hillsong Worship,Still - Live,Ultimate Worship: Hillsong (Live),0.386,0.457,-6.774,0.0301,0.324,0.0,0.0956,0.166,139.679,5.341783333333334,4.7803347280334725
Hillsong Worship,Who You Say I Am - Studio Version,Who You Say I Am (Studio Version),0.376,0.65,-8.147,0.0406,0.00406,0.0,0.089,0.321,171.907,3.31175,7.3033707865168545
Hillsong Worship,King Of Kings,Awake,0.489,0.477,-7.343,0.0299,0.122,0.0,0.1,0.177,136.045,4.4188833333333335,4.77
Hillsong Worship,Christ Is Enough - Live,Glorious Ruins (Live),0.371,0.811,-4.604,0.0335,0.00923,0.0,0.325,0.245,79.993,5.35,2.4953846153846158
Hillsong Worship,Through It All - Live,Blessed (Live),0.188,0.705,-6.503,0.0378,0.0246,1.93e-06,0.284,0.251,152.539,5.2877833333333335,2.482394366197183
George Strait,Check Yes Or No,Strait Out Of The Box,0.708,0.524,-12.644,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,3.34445,14.12398921832884
George Strait,Amarillo By Morning,Strait From The Heart,0.606,0.361,-16.031,0.0346,0.264,3.39e-05,0.38,0.621,121.059,2.8911166666666666,0.95
George Strait,Carrying Your Love With Me,Carrying Your Love With Me,0.629,0.479,-10.608,0.0271,0.22,0.0,0.0587,0.345,138.231,3.873783333333333,8.160136286201022
George Strait,Roll Me Up and Smoke Me When I Die - Live,Willie Nelson American Outlaw (Live),0.427,0.813,-9.02,0.0737,0.0713,0.109,0.873,0.344,106.859,2.237783333333333,0.9312714776632302
George Strait,Write This Down,Always Never The Same,0.729,0.688,-7.468,0.0264,0.127,9.44e-06,0.295,0.671,123.867,3.66,2.332203389830509
George Strait,Troubadour,Troubadour,0.568,0.621,-6.395,0.0261,0.356,0.000577,0.274,0.346,136.094,2.937116666666667,2.2664233576642334
George Strait,Give It Away,It Just Comes Natural,0.674,0.646,-5.876,0.027,0.486,8.37e-05,0.262,0.613,148.1,3.4886666666666666,2.465648854961832
George Strait,Here For A Good Time,Here For A Good Time,0.596,0.768,-6.753,0.0369,0.0858,6.23e-06,0.116,0.532,127.93,3.00445,6.620689655172414
George Strait,I Cross My Heart - Pure Country Soundtrack Version,Pure Country,0.526,0.442,-10.133,0.0259,0.267,5.49e-05,0.106,0.284,131.055,3.533333333333333,4.169811320754717
George Strait,Blue Clear Sky,Blue Clear Sky,0.638,0.819,-6.646,0.0291,0.202,4.1e-05,0.3,0.706,124.062,2.91445,2.73
Berliner Philharmoniker,"Suite No. 3 in D Major, BWV 1068: II. Air",Born in the 1600s: Bach,0.0769,0.0846,-25.997,0.045,0.922,0.929,0.113,0.0586,176.329,6.054216666666667,0.7486725663716813
Berliner Philharmoniker,"An der schönen blauen Donau, Op. 314","Strauss, J.: An der schönen blauen Donau (The Blue Danube)",0.233,0.0252,-24.824,0.0346,0.975,0.601,0.143,0.0936,94.736,11.786216666666666,0.1762237762237762
Berliner Philharmoniker,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",Tchaikovsky: The Nutcracker,0.149,0.128,-20.459,0.0462,0.944,0.928,0.0703,0.113,47.362,6.9302166666666665,1.8207681365576105
Berliner Philharmoniker,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14a, Pas de deux. Andante maestoso",Tchaikovsky: The Nutcracker,0.139,0.148,-18.882,0.0386,0.929,0.954,0.106,0.0788,142.536,5.108883333333333,1.3962264150943395
Berliner Philharmoniker,"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 2, March",Tchaikovsky: The Nutcracker,0.444,0.116,-23.172,0.041,0.977,0.868,0.0862,0.512,150.319,2.426883333333333,1.345707656612529
Berliner Philharmoniker,"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio","Mozart: Flute Concerto No. 1, K. 313 - Flute and Harp Concerto, K. 299 & Clarinet Concerto, K. 622",0.15,0.0115,-26.636,0.0425,0.976,0.191,0.0836,0.0955,101.769,6.576,0.1375598086124402
Berliner Philharmoniker,"Tchaikovsky: The Nutcracker, Op. 71: Miniature Overture",Tchaikovsky: The Nutcracker,0.422,0.0461,-26.781,0.04,0.977,0.839,0.0557,0.337,118.922,3.1514166666666665,0.8276481149012568
Berliner Philharmoniker,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14c, Pas de deux. Variation II ""Dance of the Sugar Plum Fairy""",Tchaikovsky: The Nutcracker,0.317,0.0205,-31.8,0.0351,0.913,0.775,0.17,0.0463,111.004,2.4191166666666666,0.1205882352941176
Berliner Philharmoniker,"Requiem in D Minor, K. 626: 3. Sequentia: Lacrimosa - Live",Mozart: Requiem,0.184,0.0915,-20.03,0.0413,0.981,0.734,0.222,0.0387,119.375,2.8833333333333333,0.4121621621621621
Berliner Philharmoniker,"Swan Lake (Suite), Op. 20a, TH. 219: I. Scene - Swan Theme",Tchaikovsky: Ballet Suites,0.126,0.204,-16.095,0.0373,0.924,0.918,0.115,0.053,73.59,3.05,1.7739130434782606
Rahat Fateh Ali Khan,O Re Piya,Aaja Nachle,0.586,0.532,-8.837,0.0328,0.779,0.000565,0.124,0.494,99.994,6.329466666666667,4.290322580645162
Rahat Fateh Ali Khan,Ajj Din Chadheya,Love Aaj Kal (Original Motion Picture Soundtrack),0.585,0.688,-4.553,0.0722,0.551,6.7e-06,0.121,0.814,85.871,5.250216666666667,5.68595041322314
Rahat Fateh Ali Khan,Bol Na Halke Halke,Jhoom Barabar Jhoom,0.637,0.573,-6.69,0.0491,0.279,3.46e-06,0.0617,0.704,90.017,5.1139,9.286871961102106
Rahat Fateh Ali Khan,"Surili Akhiyon Wale (From ""Veer"")",Veer,0.514,0.574,-5.788,0.0312,0.402,0.0,0.0965,0.4,75.89,5.5293,5.948186528497409
Rahat Fateh Ali Khan,Isq Risk,Mere Brother Ki Dulhan,0.846,0.634,-7.753,0.0432,0.122,0.0,0.146,0.944,104.964,4.917983333333333,4.342465753424658
Rahat Fateh Ali Khan,"Rishte Naate - From ""De Dana Dan""",Tera Mera Saath Ho,0.637,0.825,-6.612,0.0815,0.352,0.0,0.389,0.835,92.029,4.77645,2.120822622107969
Rahat Fateh Ali Khan,Zaroori Tha,Back 2 Love,0.523,0.674,-4.832,0.0328,0.771,0.0,0.139,0.239,114.058,5.7004,4.848920863309353
Rahat Fateh Ali Khan,Mere Rashke Qamar,Baadshaho,0.718,0.83,-5.488,0.0505,0.404,2.5e-05,0.124,0.771,105.012,3.673033333333333,6.693548387096774
Rahat Fateh Ali Khan,"Tum Jo Aaye (From ""Once Upon A Time In Mumbaai"")",Mesmeric Vocalzz - Tulsi Kumar,0.574,0.841,-4.449,0.0951,0.399,1.04e-06,0.205,0.926,83.706,4.774066666666666,4.102439024390244
